,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
2105,Sanju Samson,2016,,Delhi Daredevils,"4,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2016-Delhi Daredevils,NA
466,Dinesh Karthik,2016,,Gujarat Lions,"2,30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2016-Gujarat Lions,NA
1942,Eklavya Dwivedi,2016,,Gujarat Lions,"1,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Eklavya Dwivedi,2016-Gujarat Lions,NA
2239,Pravin Tambe,2016,,Gujarat Lions,"20,00,000",Bowler,Right Handed Bat,NA,India,Pravin Tambe,2016-Gujarat Lions,NA
835,Wriddhiman Saha,2016,,Kings XI Punjab,"2,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2016-Kings XI Punjab,NA
2521,Nikhil Naik,2016,,Kings XI Punjab,"30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nikhil Naik,2016-Kings XI Punjab,NA
2343,Sheldon Jackson,2016,,Kolkata Knight Riders,"15,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Sheldon Jackson,2016-Kolkata Knight Riders,NA
2716,Jitesh Sharma,2016,,Mumbai Indians,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Jitesh Sharma,2016-Mumbai Indians,NA
2710,Jos Buttler,2016,,Mumbai Indians,"3,80,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jos Buttler,2016-Mumbai Indians,NA
2407,Ankush Bains,2016,,Rising Pune Supergiant,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Ankush Bains,2016-Rising Pune Supergiant,NA
2641,Peter Handscomb,2016,,Rising Pune Supergiant,"30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,Australia,Peter Handscomb,2016-Rising Pune Supergiant,NA
2328,Lokesh Rahul,2016,Transfer,Royal Challengers Bangalore,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2016-Royal Challengers Bangalore,NA
1145,Naman Ojha,2016,,Sunrisers Hyderabad,"50,00,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2016-Sunrisers Hyderabad,NA
1578,Aditya Tare,2016,,Sunrisers Hyderabad,"1,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2016-Sunrisers Hyderabad,NA
1577,Aditya Tare,2017,,Delhi Daredevils,"25,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2017-Delhi Daredevils,NA
2104,Sanju Samson,2017,,Delhi Daredevils,"4,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2017-Delhi Daredevils,NA
465,Dinesh Karthik,2017,,Gujarat Lions,"2,30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2017-Gujarat Lions,NA
2795,Jason Roy,2017,,Gujarat Lions,"1,00,00,000",Batsman,Right Handed Bat,NA,England,Jason Roy,2017-Gujarat Lions,NA
834,Wriddhiman Saha,2017,,Kings XI Punjab,"2,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2017-Kings XI Punjab,NA
2520,Nikhil Naik,2017,,Kings XI Punjab,"30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nikhil Naik,2017-Kings XI Punjab,NA
2342,Sheldon Jackson,2017,,Kolkata Knight Riders,"15,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Sheldon Jackson,2017-Kolkata Knight Riders,NA
2715,Jitesh Sharma,2017,,Mumbai Indians,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Jitesh Sharma,2017-Mumbai Indians,NA
2709,Jos Buttler,2017,,Mumbai Indians,"3,80,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jos Buttler,2017-Mumbai Indians,NA
1886,Mayank Agarwal,2017,Transfer,Rising Pune Supergiant,"1,60,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2017-Rising Pune Supergiant,NA
2406,Ankush Bains,2017,,Rising Pune Supergiant,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Ankush Bains,2017-Rising Pune Supergiant,NA
3008,Vishnu Vinod,2017,Replacement,Royal Challengers Bangalore,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Vishnu Vinod,2017-Royal Challengers Bangalore,NA
2327,Lokesh Rahul,2017,Injured,Royal Challengers Bangalore,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2017-Royal Challengers Bangalore,NA
1144,Naman Ojha,2017,,Sunrisers Hyderabad,"50,00,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2017-Sunrisers Hyderabad,NA
1941,Eklavya Dwivedi,2017,,Sunrisers Hyderabad,"75,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Eklavya Dwivedi,2017-Sunrisers Hyderabad,NA
2238,Pravin Tambe,2017,,Sunrisers Hyderabad,"10,00,000",Bowler,Right Handed Bat,NA,India,Pravin Tambe,2017-Sunrisers Hyderabad,NA
2885,Rashid Khan,2017,,Sunrisers Hyderabad,"4,00,00,000",Bowler,Right Handed Bat,NA,Afghanistan,Rashid Khan,2017-Sunrisers Hyderabad,NA
2912,Narayan Jagadeesan,2018,,Chennai Super Kings,"20,00,000",Batsman,Right Handed Bat,NA,India,Narayan Jagadeesan,2018-Chennai Super Kings,NA
1143,Naman Ojha,2018,,Delhi Daredevils,"1,40,00,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2018-Delhi Daredevils,NA
2794,Jason Roy,2018,,Delhi Daredevils,"1,50,00,000",Batsman,Right Handed Bat,NA,England,Jason Roy,2018-Delhi Daredevils,NA
1885,Mayank Agarwal,2018,,Kings XI Punjab,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2018-Kings XI Punjab,NA
2326,Lokesh Rahul,2018,,Kings XI Punjab,"11,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2018-Kings XI Punjab,NA
464,Dinesh Karthik,2018,,Kolkata Knight Riders,"7,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2018-Kolkata Knight Riders,NA
2073,Apoorv Wankhade,2018,,Kolkata Knight Riders,"20,00,000",Batsman,Right Handed Bat,NA,India,Apoorv Wankhade,2018-Kolkata Knight Riders,NA
1576,Aditya Tare,2018,,Mumbai Indians,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2018-Mumbai Indians,NA
2970,Mayank Markande,2018,,Mumbai Indians,"20,00,000",Bowler,Right Handed Bat,NA,India,Mayank Markande,2018-Mumbai Indians,NA
3010,Heinrich klaasen,2018,Replaced,Rajasthan Royals,"50,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,South Africa,Heinrich klaasen,2018-Rajasthan Royals,NA
2103,Sanju Samson,2018,,Rajasthan Royals,"8,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2018-Rajasthan Royals,NA
2708,Jos Buttler,2018,,Rajasthan Royals,"4,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jos Buttler,2018-Rajasthan Royals,NA
833,Wriddhiman Saha,2018,,Sunrisers Hyderabad,"5,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2018-Sunrisers Hyderabad,NA
2884,Rashid Khan,2018,,Sunrisers Hyderabad,"9,00,00,000",Bowler,Right Handed Bat,NA,Afghanistan,Rashid Khan,2018-Sunrisers Hyderabad,NA
2911,Narayan Jagadeesan,2019,Retain,Chennai Super Kings,"20,00,000",Batsman,Right Handed Bat,NA,India,Narayan Jagadeesan,2019-Chennai Super Kings,NA
2405,Ankush Bains,2019,,Delhi Daredevils,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Ankush Bains,2019-Delhi Daredevils,NA
1884,Mayank Agarwal,2019,Retain,Kings XI Punjab,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2019-Kings XI Punjab,NA
3062,Prabhsimran Singh,2019,,Kings XI Punjab,"4,80,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Prabhsimran Singh,2019-Kings XI Punjab,NA
2325,Lokesh Rahul,2019,Retain,Kings XI Punjab,"11,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2019-Kings XI Punjab,NA
463,Dinesh Karthik,2019,Retain,Kolkata Knight Riders,"7,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2019-Kolkata Knight Riders,NA
2519,Nikhil Naik,2019,,Kolkata Knight Riders,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nikhil Naik,2019-Kolkata Knight Riders,NA
1575,Aditya Tare,2019,Retain,Mumbai Indians,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2019-Mumbai Indians,NA
2969,Mayank Markande,2019,Retain,Mumbai Indians,"20,00,000",Bowler,Right Handed Bat,NA,India,Mayank Markande,2019-Mumbai Indians,NA
2102,Sanju Samson,2019,Retain,Rajasthan Royals,"8,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2019-Rajasthan Royals,NA
2707,Jos Buttler,2019,Retain,Rajasthan Royals,"4,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jos Buttler,2019-Rajasthan Royals,NA
3009,Heinrich klaasen,2019,,Royal Challengers Bangalore,"50,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,South Africa,Heinrich klaasen,2019-Royal Challengers Bangalore,NA
832,Wriddhiman Saha,2019,,Sunrisers Hyderabad,"1,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2019-Sunrisers Hyderabad,NA
3107,Jonny Bairstow,2019,,Sunrisers Hyderabad,"2,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jonny Bairstow,2019-Sunrisers Hyderabad,NA
2883,Rashid Khan,2019,Retain,Sunrisers Hyderabad,"9,00,00,000",Bowler,Right Handed Bat,NA,Afghanistan,Rashid Khan,2019-Sunrisers Hyderabad,NA
2910,Narayan Jagadeesan,2020,Retain,Chennai Super Kings,"20,00,000",Batsman,Right Handed Bat,NA,India,Narayan Jagadeesan,2020-Chennai Super Kings,NA
2793,Jason Roy,2020,Ruled,Delhi Daredevils,"1,50,00,000",Batsman,Right Handed Bat,NA,England,Jason Roy,2020-Delhi Daredevils,NA
1883,Mayank Agarwal,2020,Retain,Kings XI Punjab,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2020-Kings XI Punjab,NA
3061,Prabhsimran Singh,2020,,Kings XI Punjab,"55,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Prabhsimran Singh,2020-Kings XI Punjab,NA
2324,Lokesh Rahul,2020,Retain,Kings XI Punjab,"11,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2020-Kings XI Punjab,NA
462,Dinesh Karthik,2020,Retain,Kolkata Knight Riders,"7,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2020-Kolkata Knight Riders,NA
2237,Pravin Tambe,2020,,Kolkata Knight Riders,"20,00,000",Bowler,Right Handed Bat,NA,India,Pravin Tambe,2020-Kolkata Knight Riders,NA
2518,Nikhil Naik,2020,,Kolkata Knight Riders,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nikhil Naik,2020-Kolkata Knight Riders,NA
3128,Tom Banton,2020,,Kolkata Knight Riders,"1,00,00,000",Batsman,Right Handed Bat,NA,England,Tom Banton,2020-Kolkata Knight Riders,NA
1574,Aditya Tare,2020,Retain,Mumbai Indians,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2020-Mumbai Indians,NA
2101,Sanju Samson,2020,Retain,Rajasthan Royals,"8,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2020-Rajasthan Royals,NA
2968,Mayank Markande,2020,Transfer,Rajasthan Royals,"2,00,00,000",Bowler,Right Handed Bat,NA,India,Mayank Markande,2020-Rajasthan Royals,NA
2706,Jos Buttler,2020,Retain,Rajasthan Royals,"4,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jos Buttler,2020-Rajasthan Royals,NA
3150,Joshua Philippe,2020,,Royal Challengers Bangalore,"20,00,000",Wicket Keeper,Right Handed Bat,NA,Australia,Joshua Philippe,2020-Royal Challengers Bangalore,NA
831,Wriddhiman Saha,2020,Retain,Sunrisers Hyderabad,"1,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2020-Sunrisers Hyderabad,NA
3153,Priyam Garg,2020,,Sunrisers Hyderabad,"1,90,00,000",Batsman,Right Handed Bat,NA,India,Priyam Garg,2020-Sunrisers Hyderabad,NA
3106,Jonny Bairstow,2020,Retain,Sunrisers Hyderabad,"2,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jonny Bairstow,2020-Sunrisers Hyderabad,NA
2882,Rashid Khan,2020,Retain,Sunrisers Hyderabad,"9,00,00,000",Bowler,Right Handed Bat,NA,Afghanistan,Rashid Khan,2020-Sunrisers Hyderabad,NA
2909,Narayan Jagadeesan,2021,,Chennai Super Kings,"20,00,000",Batsman,Right Handed Bat,NA,India,Narayan Jagadeesan,2021-Chennai Super Kings,NA
3007,Vishnu Vinod,2021,,Delhi Capitals,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Vishnu Vinod,2021-Delhi Capitals,NA
1882,Mayank Agarwal,2021,,Punjab Kings,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2021-Punjab Kings,NA
3060,Prabhsimran Singh,2021,,Punjab Kings,"55,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Prabhsimran Singh,2021-Punjab Kings,NA
2323,Lokesh Rahul,2021,,Punjab Kings,"11,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2021-Punjab Kings,NA
461,Dinesh Karthik,2021,,Kolkata Knight Riders,"7,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2021-Kolkata Knight Riders,NA
2341,Sheldon Jackson,2021,,Kolkata Knight Riders,"20,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Sheldon Jackson,2021-Kolkata Knight Riders,NA
1573,Aditya Tare,2021,,Mumbai Indians,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2021-Mumbai Indians,NA
2100,Sanju Samson,2021,,Rajasthan Royals,"8,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2021-Rajasthan Royals,NA
2967,Mayank Markande,2021,,Rajasthan Royals,"2,00,00,000",Bowler,Right Handed Bat,NA,India,Mayank Markande,2021-Rajasthan Royals,NA
2705,Jos Buttler,2021,Pull,Rajasthan Royals,"4,40,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jos Buttler,2021-Rajasthan Royals,NA
3149,Joshua Philippe,2021,,Royal Challengers Bangalore,"20,00,000",Wicket Keeper,Right Handed Bat,NA,Australia,Joshua Philippe,2021-Royal Challengers Bangalore,NA
830,Wriddhiman Saha,2021,,Sunrisers Hyderabad,"1,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2021-Sunrisers Hyderabad,NA
3152,Priyam Garg,2021,,Sunrisers Hyderabad,"1,90,00,000",Batsman,Right Handed Bat,NA,India,Priyam Garg,2021-Sunrisers Hyderabad,NA
2792,Jason Roy,2021,,Sunrisers Hyderabad,"2,00,00,000",Batsman,Right Handed Bat,NA,England,Jason Roy,2021-Sunrisers Hyderabad,NA
3105,Jonny Bairstow,2021,Pull,Sunrisers Hyderabad,"2,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jonny Bairstow,2021-Sunrisers Hyderabad,NA
2881,Rashid Khan,2021,,Sunrisers Hyderabad,"9,00,00,000",Bowler,Right Handed Bat,NA,Afghanistan,Rashid Khan,2021-Sunrisers Hyderabad,NA
2908,Narayan Jagadeesan,2022,,Chennai Super Kings,"20,00,000",Batsman,Right Handed Bat,NA,India,Narayan Jagadeesan,2022-Chennai Super Kings,NA
829,Wriddhiman Saha,2022,,Gujarat Titans,"1,90,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2022-Gujarat Titans,NA
2880,Rashid Khan,2022,,Gujarat Titans,"15,00,00,000",Bowler,Right Handed Bat,NA,Afghanistan,Rashid Khan,2022-Gujarat Titans,NA
1881,Mayank Agarwal,2022,,Punjab Kings,"12,00,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2022-Punjab Kings,NA
3059,Prabhsimran Singh,2022,,Punjab Kings,"60,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Prabhsimran Singh,2022-Punjab Kings,NA
2714,Jitesh Sharma,2022,,Punjab Kings,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Jitesh Sharma,2022-Punjab Kings,NA
2340,Sheldon Jackson,2022,,Kolkata Knight Riders,"60,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Sheldon Jackson,2022-Kolkata Knight Riders,NA
2322,Lokesh Rahul,2022,,Lucknow Super Giants,"17,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2022-Lucknow Super Giants,NA
2966,Mayank Markande,2022,,Mumbai Indians,"65,00,000",Bowler,Right Handed Bat,NA,India,Mayank Markande,2022-Mumbai Indians,NA
3104,Jonny Bairstow,2022,,Punjab Kings,"6,75,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jonny Bairstow,2022-Punjab Kings,NA
2099,Sanju Samson,2022,,Rajasthan Royals,"14,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2022-Rajasthan Royals,NA
2704,Jos Buttler,2022,,Rajasthan Royals,"10,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,England,Jos Buttler,2022-Rajasthan Royals,NA
460,Dinesh Karthik,2022,,Royal Challengers Bangalore,"5,50,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2022-Royal Challengers Bangalore,NA
3006,Vishnu Vinod,2022,,Sunrisers Hyderabad,"50,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Vishnu Vinod,2022-Sunrisers Hyderabad,NA
3151,Priyam Garg,2022,,Sunrisers Hyderabad,"20,00,000",Batsman,Right Handed Bat,NA,India,Priyam Garg,2022-Sunrisers Hyderabad,NA
3166,Daniel Sams,2020,Repalcement,Delhi Daredevils,"30,00,000",,,NA,Australia,Daniel Sams,2020-Delhi Daredevils,NA
3163,Ali Khan,2020,Repalcement,Kolkata Knight Riders,NA,,,NA,England,Ali Khan,2020-Kolkata Knight Riders,NA
3230,Aiden Markram,2021,Replace,Punjab Kings,NA,,,NA,South Africa,Aiden Markram,2021-Punjab Kings,NA
3228,Adil Rashid,2021,Replace,Punjab Kings,NA,,,NA,England,Adil Rashid,2021-Punjab Kings,NA
3227,Nathan Ellis,2021,Replace,Punjab Kings,NA,,,NA,Australia,Nathan Ellis,2021-Punjab Kings,NA
3225,Glenn Phillips,2021,Replace,Rajasthan Royals,NA,,,NA,New Zealand,Glenn Phillips,2021-Rajasthan Royals,NA
3219,Wanindu Hasaranga,2021,Replace,Royal Challengers Bangalore,NA,,,NA,Sri Lanka,Wanindu Hasaranga,2021-Royal Challengers Bangalore,NA
3217,George Garton,2021,Replace,Royal Challengers Bangalore,NA,,,NA,England,George Garton,2021-Royal Challengers Bangalore,NA
3165,Daniel Sams,2021,Pull,Royal Challengers Bangalore,"30,00,000",,,NA,Australia,Daniel Sams,2021-Royal Challengers Bangalore,NA
3221,Tim David,2021,Replace,Royal Challengers Bangalore,NA,,,NA,Australia,Tim David,2021-Royal Challengers Bangalore,NA
3262,Baltej Singh Dhanda,2022,,Punjab Kings,"20,00,000",,,NA,India,Baltej Singh Dhanda,2022-Punjab Kings,NA
3259,Writtick Chatterjee,2022,,Punjab Kings,"20,00,000",,,NA,India,Writtick Chatterjee,2022-Punjab Kings,NA
3226,Nathan Ellis,2022,,Punjab Kings,"75,00,000",,,NA,Australia,Nathan Ellis,2022-Punjab Kings,NA
3164,Daniel Sams,2022,,Mumbai Indians,"2,60,00,000",,,NA,Australia,Daniel Sams,2022-Mumbai Indians,NA
3220,Tim David,2022,,Mumbai Indians,"8,25,00,000",,,NA,Australia,Tim David,2022-Mumbai Indians,NA
3218,Wanindu Hasaranga,2022,,Royal Challengers Bangalore,"10,75,00,000",,,NA,Sri Lanka,Wanindu Hasaranga,2022-Royal Challengers Bangalore,NA
3229,Aiden Markram,2022,,Sunrisers Hyderabad,"2,60,00,000",,,NA,South Africa,Aiden Markram,2022-Sunrisers Hyderabad,NA
3224,Glenn Phillips,2022,,Sunrisers Hyderabad,"1,50,00,000",,,NA,New Zealand,Glenn Phillips,2022-Sunrisers Hyderabad,NA
3293,Rajat Patidar,2022,,Royal Challengers Bangalore,"20,00,000",Batter,Right Handed Bat,None,India,Rajat Patidar,2022-Royal Challengers Bangalore,NA
3258,Abhijeet Tomar,2022,,Kolkata Knight Riders,"40,00,000",Batsman,Right Handed Bat,Off break,India,Abhijeet Tomar,2022-Kolkata Knight Riders,Spin
3111,Alzarri Joseph,2019,Replacement,Mumbai Indians,NA,Bowler,Right Handed Bat,Right Arm Fast Bowler,West Indies,Alzarri Joseph,2019-Mumbai Indians,Pace
3076,Rashik Dar,2019,,Mumbai Indians,"20,00,000",Bowler,Right Handed Bat,Right Arm Fast Bowler,India,Rashik Dar,2019-Mumbai Indians,Pace
3110,Alzarri Joseph,2022,,Gujarat Titans,"2,40,00,000",Bowler,Right Handed Bat,Right Arm Fast Bowler,West Indies,Alzarri Joseph,2022-Gujarat Titans,Pace
3269,Ramandeep Singh,2022,,Mumbai Indians,"20,00,000",Batsman,Right Handed Bat,Right arm medium,India,Ramandeep Singh,2022-Mumbai Indians,Pace
3070,Bandaru Ayyappa,2019,,Delhi Daredevils,"20,00,000",Bowler,Right Handed Bat,Right Arm Medium Bowler,India,Bandaru Ayyappa,2019-Delhi Daredevils,Pace
3252,Rasikh Dar,2022,,Kolkata Knight Riders,"20,00,000",Bowler,Right Handed Bat,Right-arm,India,Rasikh Dar,2022-Kolkata Knight Riders,Pace
3234,Abhinav Manohar Sadarangani,2022,,Gujarat Titans,"2,60,00,000",Batsman,Right Handed Bat,Right-arm,India,Abhinav Manohar Sadarangani,2022-Gujarat Titans,Pace
2948,Manjot Kalra,2018,,Delhi Daredevils,"20,00,000",Batsman,Left Handed Bat,Right-arm bowler,India,Manjot Kalra,2018-Delhi Daredevils,Pace
2947,Manjot Kalra,2019,Retain,Delhi Daredevils,"20,00,000",Batsman,Left Handed Bat,Right-arm bowler,India,Manjot Kalra,2019-Delhi Daredevils,Pace
3103,Shivam Dubey,2019,,Royal Challengers Bangalore,"5,00,00,000",Batsman,Left Handed Bat,Right-arm bowler,India,Shivam Dubey,2019-Royal Challengers Bangalore,Pace
3102,Shivam Dubey,2020,Retain,Royal Challengers Bangalore,"5,00,00,000",Batsman,Left Handed Bat,Right-arm bowler,India,Shivam Dubey,2020-Royal Challengers Bangalore,Pace
3101,Shivam Dubey,2021,,Rajasthan Royals,"4,40,00,000",Batsman,Left Handed Bat,Right-arm bowler,India,Shivam Dubey,2021-Rajasthan Royals,Pace
3100,Shivam Dubey,2022,,Chennai Super Kings,"4,00,00,000",Batsman,Left Handed Bat,Right-arm bowler,India,Shivam Dubey,2022-Chennai Super Kings,Pace
1051,Herschelle Gibbs,2008,,Deccan Chargers,"2,30,92,000",Batsman,Right Handed Bat,Right-arm bowler,South Africa,Herschelle Gibbs,2008-Deccan Chargers,Pace
538,Tejashwi Yadav,2008,,Delhi Daredevils,"8,00,000",Batsman,Right Handed Bat,Right-arm bowler,India,Tejashwi Yadav,2008-Delhi Daredevils,Pace
1050,Herschelle Gibbs,2009,,Deccan Chargers,"2,82,44,000",Batsman,Right Handed Bat,Right-arm bowler,South Africa,Herschelle Gibbs,2009-Deccan Chargers,Pace
537,Tejashwi Yadav,2009,,Delhi Daredevils,"8,00,000",Batsman,Right Handed Bat,Right-arm bowler,India,Tejashwi Yadav,2009-Delhi Daredevils,Pace
1049,Herschelle Gibbs,2010,,Deccan Chargers,"2,66,16,750",Batsman,Right Handed Bat,Right-arm bowler,South Africa,Herschelle Gibbs,2010-Deccan Chargers,Pace
536,Tejashwi Yadav,2011,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm bowler,India,Tejashwi Yadav,2011-Delhi Daredevils,Pace
535,Tejashwi Yadav,2012,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm bowler,India,Tejashwi Yadav,2012-Delhi Daredevils,Pace
1048,Herschelle Gibbs,2012,,Mumbai Indians,"25,13,500",Batsman,Right Handed Bat,Right-arm bowler,South Africa,Herschelle Gibbs,2012-Mumbai Indians,Pace
194,Morne Morkel,2008,,Rajasthan Royals,"24,09,600",Bowler,Left Handed Bat,Right-arm fast,South Africa,Morne Morkel,2008-Rajasthan Royals,Pace
193,Morne Morkel,2009,,Rajasthan Royals,"29,47,200",Bowler,Left Handed Bat,Right-arm fast,South Africa,Morne Morkel,2009-Rajasthan Royals,Pace
192,Morne Morkel,2010,,Rajasthan Royals,"27,77,400",Bowler,Left Handed Bat,Right-arm fast,South Africa,Morne Morkel,2010-Rajasthan Royals,Pace
191,Morne Morkel,2011,,Delhi Daredevils,"2,18,50,000",Bowler,Left Handed Bat,Right-arm fast,South Africa,Morne Morkel,2011-Delhi Daredevils,Pace
2169,TP Sudhindra,2012,,Deccan Chargers,"10,00,000",Bowler,Left Handed Bat,Right-arm fast,India,TP Sudhindra,2012-Deccan Chargers,Pace
190,Morne Morkel,2012,,Delhi Daredevils,"2,38,78,250",Bowler,Left Handed Bat,Right-arm fast,South Africa,Morne Morkel,2012-Delhi Daredevils,Pace
